Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Ant's Corner],Price [Ant's Corner],In stock [Ant's Corner],Low stock [Ant's Corner]
"""thank-you""-sticker-500's",10575,"""THANK YOU"" STICKER 500'S",Packaging & Containers,,N,,,,,,,19,127341680001,,,Y,Y,45,22,5
thank-you-stickers-(long),10627,"""THANK YOU"" STICKERS (LONG)",Packaging & Containers,,N,,,,,,,23.9,127341680002,,,Y,Y,55,12,3
washington-flour-1kg-(1st-class),10120,1ST CLASS FLOUR 1KG (WASHINGTON ),Baking Supplies,,N,,,,,,,39,527341680001,,,Y,Y,57,44,10
3d-floral-bouquet,10955,3D FLORAL BOUQUET,Packaging & Containers,,N,,,,,,,18.4,127341680003,,,Y,Y,35,10,2
plastic-6x10,10425,4X10 PLASTIC (SABAKU),Plastics,,N,,,,,,,13,127341680004,,,Y,Y,16,19,5
4x10.5-(softdrink-plastic),10426,4X10.5 (SOFTDRINK PLASTIC),Plastics,,N,,,,,,,10.5,127341680005,,,Y,Y,15,9,5
plastic-clear-6x10--sabaku,10360,6X10 PLASTIC- SABAKU THICK,Plastics,,N,,,,,,,26,127341680006,,,Y,Y,35,63,5
plastic-clear-6x12--sabaku-thick,10361,6X12 PLASTIC- SABAKU THICK,Plastics,,N,,,,,,,30,127341680007,,,Y,Y,43,49,5
plastic-clear-6x12--sabaku-thin,10362,6X12 PLASTIC- SABAKU THIN,Plastics,,N,,,,,,,13.5,127341680008,,,Y,Y,22,0,5
acc--ube-powder-100g,10772,ACC  UBE POWDER 100G,Baking Supplies,,N,,,,,,,60,127341680009,,,Y,Y,75,0,2
acc--caramel-syrup-1l,10171,ACC CARAMEL SYRUP 1L,Baking Supplies,,N,,,,,,,155,527341680004,,,Y,Y,175,9,5
ACO804,1184,ACC CHIFFON OIL 800G,Baking Supplies,,N,,,,,,,198.85,527341680005,,,Y,Y,237,6,3
ACS105,1185,ACC CHOCOLATE SYRUP 1L,Baking Supplies,,N,,,,,,,159,527341680006,,,Y,Y,195,14,5
ACOT168,1359,ACC CREAM OF TARTAR 1KG,Baking Supplies,,N,,,,,,,300,527341680007,,,Y,Y,345,2,1
ADBCB15,1195,ACC DUTCHE BITTERSWEET CHOCO BAKING BAR 500G,Baking Supplies,,N,,,,,,,140,527341680008,,,Y,Y,163,12,3
ADMBB20,1200,ACC DUTCHE MATCHA BAKING BAR 500G,Baking Supplies,,N,,,,,,,155,527341680010,,,Y,Y,176,0,2
ADSC125,1205,ACC DUTCHE SPECIAL COCOA 1KG,Baking Supplies,,N,,,,,,,315.25,527341680012,,,Y,Y,355,11,5
acc-strawberry-syrup-1kg,10168,ACC STRAWBERRY SYRUP 1L,Baking Supplies,,N,,,,,,,146,527341680015,,,Y,Y,170,2,5
ASSBB39,1219,ACC SUISSE STRAWBERRY BAKING BAR 500G,Baking Supplies,,N,,,,,,,133,527341680016,,,Y,Y,157,0,3
